[2026-01-26 20:00:09] Results directory created at: results\run_2026-01-26(20h-00m-09s)
[2026-01-26 20:00:09] 변환 완료: data/samsung_data/swi\VK001.nii → data/output_images/swi
[2026-01-26 20:00:10] 변환 완료: data/samsung_data/swi\VK002.nii → data/output_images/swi
[2026-01-26 20:00:10] 변환 완료: data/samsung_data/swi\VK003.nii → data/output_images/swi
[2026-01-26 20:00:11] 변환 완료: data/samsung_data/swi\VK004.nii → data/output_images/swi
[2026-01-26 20:00:11] 변환 완료: data/samsung_data/swi\VK005.nii → data/output_images/swi
[2026-01-26 20:00:11] 변환 완료: data/samsung_data/swi\VK006.nii → data/output_images/swi
[2026-01-26 20:00:12] 변환 완료: data/samsung_data/swi\VK007.nii → data/output_images/swi
[2026-01-26 20:00:12] 변환 완료: data/samsung_data/swi\VK008.nii → data/output_images/swi
[2026-01-26 20:00:13] 변환 완료: data/samsung_data/swi\VK009.nii → data/output_images/swi
[2026-01-26 20:00:13] 변환 완료: data/samsung_data/swi\VK010.nii → data/output_images/swi
[2026-01-26 20:00:14] 변환 완료: data/samsung_data/swi\VK012.nii → data/output_images/swi
[2026-01-26 20:00:14] 변환 완료: data/samsung_data/swi\VK013.nii → data/output_images/swi
[2026-01-26 20:00:15] 변환 완료: data/samsung_data/swi\VK014.nii → data/output_images/swi
[2026-01-26 20:00:15] 변환 완료: data/samsung_data/swi\VK015.nii → data/output_images/swi
[2026-01-26 20:00:15] 변환 완료: data/samsung_data/swi\VK016.nii → data/output_images/swi
[2026-01-26 20:00:16] 변환 완료: data/samsung_data/swi\VK018.nii → data/output_images/swi
[2026-01-26 20:00:16] 변환 완료: data/samsung_data/swi\VK020.nii → data/output_images/swi
[2026-01-26 20:00:17] 변환 완료: data/samsung_data/swi\VK021.nii → data/output_images/swi
[2026-01-26 20:00:17] 변환 완료: data/samsung_data/swi\VK024.nii → data/output_images/swi
[2026-01-26 20:00:18] 변환 완료: data/samsung_data/swi\VK028.nii → data/output_images/swi
[2026-01-26 20:00:18] 변환 완료: data/samsung_data/swi\VK030.nii → data/output_images/swi
[2026-01-26 20:00:19] 변환 완료: data/samsung_data/swi\VK031.nii → data/output_images/swi
[2026-01-26 20:00:19] 변환 완료: data/samsung_data/swi\VK037.nii → data/output_images/swi
[2026-01-26 20:00:19] 변환 완료: data/samsung_data/swi\VK046.nii → data/output_images/swi
[2026-01-26 20:00:20] 변환 완료: data/samsung_data/swi\VK047.nii → data/output_images/swi
[2026-01-26 20:00:20] 변환 완료: data/samsung_data/swi\VK048.nii → data/output_images/swi
